time,solar,wind_offshore,wind_onshore
2024-01-02 01:15:00,0.0,3772.4,19756.5
2024-01-02 01:30:00,0.0,3775.9,19456.9
2024-01-02 01:45:00,0.0,3751.2,19237.1
2024-01-02 02:00:00,0.0,3786.8,19287.8
2024-01-02 02:15:00,0.0,3660.7,19368.1
2024-01-02 02:30:00,0.0,3679.7,19548.0
2024-01-02 02:45:00,0.0,3663.6,19786.6
2024-01-02 03:00:00,0.0,3678.3,20175.0
2024-01-02 03:15:00,0.0,3980.1,20593.3
2024-01-02 03:30:00,0.0,4133.3,20843.5
2024-01-02 03:45:00,0.0,4289.0,21049.4
2024-01-02 04:00:00,0.0,4562.9,21541.4
2024-01-02 04:15:00,0.0,4756.5,22128.5
2024-01-02 04:30:00,2.6,4855.1,22577.4
2024-01-02 04:45:00,2.6,4944.4,22992.4
2024-01-02 05:00:00,2.4,5029.3,23700.4
2024-01-02 05:15:00,2.6,5072.2,24412.1
2024-01-02 05:30:00,2.7,5116.1,25217.9
2024-01-02 05:45:00,3.6,5179.1,25753.3
2024-01-02 06:00:00,2.8,5212.4,26978.0
2024-01-02 06:15:00,2.7,5194.7,27467.7
2024-01-02 06:30:00,3.5,5159.3,27964.6
2024-01-02 06:45:00,3.6,5159.5,28425.9
2024-01-02 07:00:00,2.6,5173.5,28832.3
2024-01-02 07:15:00,2.6,5167.9,29199.0
2024-01-02 07:30:00,2.7,5221.0,29600.1
2024-01-02 07:45:00,2.8,5211.6,29860.4
2024-01-02 08:00:00,3.8,5189.5,30152.8
2024-01-02 08:15:00,11.3,5181.3,30330.6
2024-01-02 08:30:00,52.6,5169.9,30538.3
2024-01-02 08:45:00,129.0,5174.4,30476.4
2024-01-02 09:00:00,239.3,5185.0,30203.4
2024-01-02 09:15:00,412.9,5199.1,30074.2
2024-01-02 09:30:00,609.1,5195.7,30063.6
2024-01-02 09:45:00,823.2,5182.8,30268.1
2024-01-02 10:00:00,1034.6,5176.5,30355.9
2024-01-02 10:15:00,1242.9,5198.1,30162.7
2024-01-02 10:30:00,1450.1,5202.6,29905.7
2024-01-02 10:45:00,1659.1,5178.6,29543.2
2024-01-02 11:00:00,1849.6,4914.3,29159.5
2024-01-02 11:15:00,2032.1,4484.4,28741.8
2024-01-02 11:30:00,2168.6,4124.4,28334.2
2024-01-02 11:45:00,2294.3,3902.4,27948.4
2024-01-02 12:00:00,2441.0,3782.9,27575.2
2024-01-02 12:15:00,2535.2,3769.5,27493.5
2024-01-02 12:30:00,2593.5,3816.2,27496.2
2024-01-02 12:45:00,2604.1,3864.0,27315.7
2024-01-02 13:00:00,2506.8,3779.3,27098.7
2024-01-02 13:15:00,2375.5,3506.9,27060.5
2024-01-02 13:30:00,2164.2,3156.9,26952.0
2024-01-02 13:45:00,1893.7,3029.7,26889.8
2024-01-02 14:00:00,1581.8,3218.8,26722.1
2024-01-02 14:15:00,1296.7,3351.8,26479.4
2024-01-02 14:30:00,1062.0,3290.0,26321.6
2024-01-02 14:45:00,836.2,3339.4,26365.7
2024-01-02 15:00:00,608.1,3305.0,26448.4
2024-01-02 15:15:00,400.6,3239.2,26471.7
2024-01-02 15:30:00,225.9,3224.3,26781.2
2024-01-02 15:45:00,96.7,3245.9,27215.1
2024-01-02 16:00:00,27.4,3381.4,27615.8
2024-01-02 16:15:00,7.9,3570.5,28017.4
2024-01-02 16:30:00,6.8,3799.0,28509.9
2024-01-02 16:45:00,6.6,4196.5,28996.1
2024-01-02 17:00:00,5.0,4600.4,29534.3
2024-01-02 17:15:00,3.5,4930.2,29969.1
2024-01-02 17:30:00,3.4,5232.2,30473.1
2024-01-02 17:45:00,3.3,5485.1,30893.1
2024-01-02 18:00:00,6.0,5786.0,31281.4
2024-01-02 18:15:00,3.0,5967.1,31644.2
2024-01-02 18:30:00,2.9,6123.6,32173.2
2024-01-02 18:45:00,2.8,6265.9,32867.8
2024-01-02 19:00:00,3.5,6346.3,33487.5
2024-01-02 19:15:00,2.7,6408.0,33930.1
2024-01-02 19:30:00,2.6,6432.7,34300.1
2024-01-02 19:45:00,2.6,6437.6,34578.0
2024-01-02 20:00:00,3.1,6441.0,34911.9
2024-01-02 20:15:00,3.0,6436.8,35396.5
2024-01-02 20:30:00,2.3,6438.5,35613.2
2024-01-02 20:45:00,2.3,6434.3,35927.8
2024-01-02 21:00:00,3.2,6413.2,36319.6
2024-01-02 21:15:00,3.3,6411.6,36620.6
2024-01-02 21:30:00,2.5,6395.1,36736.4
2024-01-02 21:45:00,2.5,6288.8,36858.9
2024-01-02 22:00:00,0.0,6169.9,36127.8
2024-01-02 22:15:00,0.0,6190.3,36412.7
2024-01-02 22:30:00,0.0,5986.6,36822.0
2024-01-02 22:45:00,0.0,5891.0,36926.8
2024-01-02 23:00:00,0.0,5814.7,36971.9
2024-01-02 23:15:00,0.0,5736.3,37130.0
2024-01-02 23:30:00,0.0,5607.1,37211.4
2024-01-02 23:45:00,0.0,5499.0,36912.1
2024-01-03 00:00:00,0.0,4452.8,36047.3
2024-01-03 00:15:00,0.0,4021.1,35978.4
2024-01-03 00:30:00,0.0,3767.8,36167.1
2024-01-03 00:45:00,0.0,3598.1,36270.0
2024-01-03 01:00:00,0.0,3400.9,36430.7
2024-01-03 01:15:00,0.0,3249.7,36500.2
